location_id,location,parameter,value,date_utc,unit,lat,long,country
10771,Traralgon,pm25,3.37,2022-04-01T19:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.18,2022-04-01T20:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.006,2022-04-01T20:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.01,2022-04-01T20:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,5.35,2022-04-01T20:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,3.08,2022-04-01T20:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.2,2022-04-01T21:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.009,2022-04-01T21:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.006,2022-04-01T21:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,5.18,2022-04-01T21:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,2,2022-04-01T21:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.2,2022-04-01T22:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.006,2022-04-01T22:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.007,2022-04-01T22:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,7.33,2022-04-01T22:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,1.88,2022-04-01T22:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.21,2022-04-01T23:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.007,2022-04-01T23:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.008,2022-04-01T23:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,6.94,2022-04-01T23:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,4.62,2022-04-01T23:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.2,2022-04-02T00:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.006,2022-04-02T00:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.012,2022-04-02T00:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,5.16,2022-04-02T00:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,5.44,2022-04-02T00:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.2,2022-04-02T01:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.004,2022-04-02T01:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.013,2022-04-02T01:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,7.19,2022-04-02T01:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,4.06,2022-04-02T01:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.19,2022-04-02T02:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.003,2022-04-02T02:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.015,2022-04-02T02:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,4.21,2022-04-02T02:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,4.52,2022-04-02T02:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.19,2022-04-02T03:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.003,2022-04-02T03:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.015,2022-04-02T03:00:00Z,ppm,-38.1942825,146.531464,AU
