longitude,latitude,year,month,day,date,air_tmax,air_tmax_source,air_tmin,air_tmin_source,elev_m,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,extracted,mslp,mslp_source,radiation,radiation_source,rainfall,rainfall_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,vp,vp_deficit,vp_deficit_source,vp_source,location
146.5,-38.19,2022,4,30,2022-04-30,16.8,25,10.8,25,60.8 m,0.6,26,2.7,26,1.6,26,1.7,26,2.4,26,2.3,25,1.6,26,2.3,25,2.2,26,2024-10-27,1015.6,25,10.6,42,21,25,59.1,26,87.3,26,11.3,6.1,26,25,Traralgon
146.5,-38.19,2022,5,1,2022-05-01,19.5,25,7.7,25,60.8 m,0.6,26,2,26,1.3,26,1.7,26,2.4,26,2.4,25,1.3,26,2.4,25,1.8,26,2024-10-27,1021.5,25,8.4,42,0.1,25,51.2,26,100,26,11.6,7.2,26,25,Traralgon
146.5,-38.19,2022,5,2,2022-05-02,21.7,25,9.1,25,60.8 m,1,26,2.7,26,1.9,26,1.9,26,2.6,26,1.4,25,1.9,26,1.4,25,2,26,2024-10-27,1022.7,25,11.6,42,0.1,25,51.3,26,100,26,13.3,8.1,26,25,Traralgon
146.5,-38.19,2022,5,3,2022-05-03,21.4,25,8,25,60.8 m,0.9,26,3,26,1.9,26,2,26,2.8,26,2.3,25,1.9,26,2.3,25,2,26,2024-10-27,1019.6,25,12.1,42,0,25,47.5,26,100,26,12.1,8.6,26,25,Traralgon
146.5,-38.19,2022,5,4,2022-05-04,18.8,25,4.3,25,60.8 m,1.4,26,1.4,26,1.4,26,1.1,26,1.5,26,1.7,25,1.4,26,1.7,25,1.6,26,2024-10-27,1013.1,25,7,42,0,25,58.1,26,100,26,12.6,4.6,26,25,Traralgon
146.5,-38.19,2022,5,5,2022-05-05,15.8,25,4.7,25,60.8 m,1.1,26,1.8,26,1.4,26,1.3,26,1.8,26,2.3,25,1.4,26,2.3,25,1.6,26,2024-10-27,1016.3,25,10.8,42,1.9,25,56.9,26,100,26,10.2,4.8,26,25,Traralgon
146.5,-38.19,2022,5,6,2022-05-06,15.5,25,1,25,60.8 m,1.2,26,1.3,26,1.2,26,1.2,26,1.6,26,1.5,25,1.2,26,1.5,25,1.6,26,2024-10-27,1016.3,25,9.9,42,0.3,25,54,26,100,26,9.5,4.4,26,25,Traralgon
146.5,-38.19,2022,5,7,2022-05-07,15.9,25,7.8,25,60.8 m,0.4,26,1.2,26,0.8,26,1.5,26,2.2,26,1.3,25,0.8,26,1.3,25,1.6,26,2024-10-27,1014.4,25,5.7,42,0.4,25,53.2,26,90.8,26,9.6,6.2,26,25,Traralgon
146.5,-38.19,2022,5,8,2022-05-08,16.2,25,10.5,25,60.8 m,0.7,26,1.5,26,1.1,26,1.2,26,1.6,26,1.3,25,1.1,26,1.3,25,1.4,26,2024-10-27,1024.3,25,7.6,42,2.5,25,69,26,100,26,12.7,4.1,26,25,Traralgon
146.5,-38.19,2022,5,9,2022-05-09,17.1,25,3.4,25,60.8 m,1,26,2,26,1.5,26,1.5,26,2.1,26,1.1,25,1.5,26,1.1,25,1.7,26,2024-10-27,1030.3,25,11.2,42,0.1,25,50.3,26,100,26,9.8,5.8,26,25,Traralgon
146.5,-38.19,2022,5,10,2022-05-10,19.1,25,2.7,25,60.8 m,1.2,26,1.8,26,1.5,26,1.5,26,2.1,26,1.1,25,1.5,26,1.1,25,1.8,26,2024-10-27,1032.2,25,11.2,42,0.1,25,49.3,26,100,26,10.9,6.1,26,25,Traralgon
146.5,-38.19,2022,5,11,2022-05-11,15.3,25,6.8,25,60.8 m,0.8,26,0.8,26,0.8,26,0.7,26,0.9,26,0.7,25,0.8,26,0.7,25,1.3,26,2024-10-27,1029.3,25,5.5,42,0.1,25,72.5,26,100,26,12.6,2.5,26,25,Traralgon
146.5,-38.19,2022,5,12,2022-05-12,17.7,25,8.5,25,60.8 m,0.8,26,1.2,26,1,26,1.1,26,1.5,26,0.3,25,1,26,0.3,25,1.5,26,2024-10-27,1021.2,25,7,42,0,25,64.2,26,100,26,13,4.5,26,25,Traralgon
146.5,-38.19,2022,5,13,2022-05-13,19.5,25,11.5,25,60.8 m,1.1,26,1.2,26,1.2,26,1.1,26,1.4,26,0.6,25,1.1,26,0.6,25,1.5,26,2024-10-27,1017.3,25,7.5,42,0.2,25,70.2,26,100,26,15.9,4.1,26,25,Traralgon
146.5,-38.19,2022,5,14,2022-05-14,17.1,25,14,25,60.8 m,0.8,26,0.8,26,0.8,26,0.8,26,1,26,1.1,25,0.8,26,1.1,25,1.2,26,2024-10-27,1012.2,25,2.8,42,0.5,25,83.1,26,100,26,16.2,2.4,26,25,Traralgon
146.5,-38.19,2022,5,15,2022-05-15,22.2,25,9.7,25,60.8 m,1.3,26,1.7,26,1.5,26,1.4,26,1.9,26,2.5,25,1.5,26,2.5,25,1.8,26,2024-10-27,1012,25,9.8,42,0.4,25,59.1,26,100,26,15.8,6.3,26,25,Traralgon
146.5,-38.19,2022,5,16,2022-05-16,17.3,25,9.5,25,60.8 m,0.4,26,1.4,26,0.9,26,1.6,26,2.3,26,2.5,25,0.9,26,2.5,25,1.7,26,2024-10-27,1012,25,6.6,42,0,25,53.7,26,89.3,26,10.6,6.8,26,25,Traralgon
